name,srx,platform,layout,ilength,srr,spots,bases
GSM3913009,SRX6385659,ILLUMINA,SINGLE,,SRR9623138,"13,675,045",1
GSM3913010,SRX6385660,ILLUMINA,SINGLE,,SRR9623139,"13,325,519",1
GSM3913011,SRX6385661,ILLUMINA,SINGLE,,SRR9623140,"16,477,128",1
GSM3913012,SRX6385662,ILLUMINA,SINGLE,,SRR9623141,"12,981,349",979
GSM3913013,SRX6385663,ILLUMINA,SINGLE,,SRR9623142,"12,187,425",919
GSM3913014,SRX6385664,ILLUMINA,SINGLE,,SRR9623143,"11,537,538",870
GSM3913015,SRX6385665,ILLUMINA,SINGLE,,SRR9623144,"9,463,130",713
GSM3913016,SRX6385666,ILLUMINA,SINGLE,,SRR9623145,"12,161,878",917
GSM3913017,SRX6385667,ILLUMINA,SINGLE,,SRR9623146,"9,738,629",734
GSM3913018,SRX6385668,ILLUMINA,SINGLE,,SRR9623147,"9,562,854",721
GSM3913019,SRX6385669,ILLUMINA,SINGLE,,SRR9623148,"9,401,189",709
GSM3913020,SRX6385670,ILLUMINA,SINGLE,,SRR9623149,"12,295,714",926
GSM3913021,SRX6385671,ILLUMINA,SINGLE,,SRR9623150,"25,206,633",1
GSM3913022,SRX6385672,ILLUMINA,SINGLE,,SRR9623151,"9,733,032",734
GSM3913023,SRX6385673,ILLUMINA,SINGLE,,SRR9623152,"12,845,798",969
GSM3913024,SRX6385674,ILLUMINA,SINGLE,,SRR9623153,"10,110,867",762
GSM3913025,SRX6385675,ILLUMINA,SINGLE,,SRR9623154,"10,138,677",764
